Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
A.J. Lawson,23.0,DAL,SG,42.0,1.3,2.9,0.446,0.3,1.2,0.26,0.577,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,3.2
Boban Marjanović,35.0,HOU,C,14.0,1.3,2.4,0.529,0.0,0.1,0.0,0.563,0.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,3.2
Zeke Nnaji,23.0,DEN,PF,58.0,1.2,2.6,0.463,0.1,0.4,0.261,0.5,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,3.2
Ish Smith,35.0,CHO,PG,43.0,1.5,3.7,0.418,0.1,0.2,0.5,0.413,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,3.2
JT Thor,21.0,CHO,PF,63.0,1.3,2.9,0.437,0.4,1.3,0.346,0.51,0.55,0.7,1.6,2.3,0.5,0.2,0.4,0.2,3.2
Brandon Williams,24.0,DAL,PG,17.0,1.2,3.2,0.37,0.2,0.9,0.2,0.436,0.647,0.2,0.5,0.8,1.0,0.1,0.1,0.4,3.2
Wesley Matthews,37.0,ATL,SG,36.0,0.9,2.7,0.351,0.7,1.9,0.348,0.357,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,3.1
Dalen Terry,21.0,CHI,SG,59.0,1.2,2.7,0.439,0.3,1.3,0.23,0.627,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,3.1
Gabe Vincent,27.0,LAL,PG,11.0,1.4,4.5,0.306,0.3,2.5,0.107,0.571,0.5,0.4,0.5,0.8,1.9,0.8,0.0,0.5,3.1
Mike Muscala,32.0,3TM,C,53.0,1.1,2.9,0.359,0.5,1.8,0.292,0.467,0.68,0.7,1.6,2.4,0.7,0.2,0.2,0.4,3.0
Mike Muscala,32.0,WAS,C,24.0,1.4,3.8,0.367,0.6,2.1,0.275,0.487,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,4.0
Mike Muscala,32.0,DET,C,13.0,1.2,3.4,0.341,1.0,2.6,0.382,0.2,0.5,0.8,1.5,2.2,0.8,0.2,0.4,0.2,3.5
Mike Muscala,32.0,OKC,C,16.0,0.5,1.4,0.364,0.1,0.7,0.091,0.636,0.0,0.4,0.9,1.3,0.3,0.1,0.1,0.3,1.1
Johnny Davis,21.0,WAS,SG,50.0,1.2,3.1,0.403,0.3,0.8,0.35,0.421,0.583,0.4,1.1,1.4,0.6,0.4,0.2,0.3,3.0
Saben Lee,24.0,PHO,PG,24.0,0.8,2.3,0.364,0.1,0.7,0.125,0.462,0.744,0.4,0.9,1.3,1.3,0.3,0.1,0.3,3.0
Olivier-Maxence Prosper,21.0,DAL,PF,40.0,1.0,2.6,0.385,0.3,1.1,0.289,0.458,0.683,0.6,1.4,2.0,0.6,0.2,0.1,0.2,3.0
Trevelin Queen,26.0,ORL,SG,14.0,1.0,2.7,0.368,0.2,1.2,0.176,0.524,0.75,0.2,1.2,1.4,1.3,0.5,0.4,0.5,2.9
Jeremiah Robinson-Earl,23.0,NOP,PF,39.0,1.2,2.4,0.474,0.3,1.0,0.333,0.571,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,2.9
Jeenathan Williams,24.0,HOU,SG,22.0,1.2,2.3,0.54,0.1,0.2,0.4,0.556,0.538,0.5,0.5,1.0,0.3,0.2,0.0,0.2,2.9
D.J. Carton,23.0,TOR,SG,4.0,0.8,2.0,0.375,0.3,1.0,0.25,0.5,0.8,0.5,0.5,1.0,0.8,0.3,0.0,0.3,2.8
Henri Drell,23.0,CHI,SF,4.0,1.0,2.5,0.4,0.5,1.5,0.333,0.5,0.5,0.3,0.8,1.0,1.0,0.5,0.3,0.5,2.8
Orlando Robinson,23.0,MIA,C,36.0,1.0,2.0,0.5,0.2,0.4,0.533,0.491,0.76,0.8,1.6,2.3,0.9,0.2,0.2,0.5,2.8
Emoni Bates,20.0,CLE,SF,15.0,1.0,3.3,0.306,0.7,2.2,0.303,0.313,0.25,0.1,0.9,0.9,0.7,0.1,0.1,0.5,2.7
Leaky Black,24.0,CHO,SF,26.0,1.0,2.0,0.481,0.3,0.8,0.45,0.5,0.667,0.3,1.5,1.8,0.9,0.3,0.4,0.2,2.7
Damian Jones,28.0,CLE,C,39.0,1.1,1.8,0.597,0.1,0.4,0.214,0.69,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,2.7
Malik Williams,25.0,TOR,C,7.0,1.3,4.9,0.265,0.1,0.7,0.2,0.276,0.0,2.1,3.3,5.4,0.3,0.4,0.6,0.4,2.7
Timmy Allen,24.0,MEM,SF,5.0,1.2,4.6,0.261,0.0,1.4,0.0,0.375,0.5,0.8,2.6,3.4,1.0,0.8,0.0,0.4,2.6
