Player,Team,Pos,Age,G,FG,FGA,3P,3PA,3P%,2P%,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PTS
Killian Tillie,MEM,C,22.0,27.0,1.2,3.4,0.7,2.1,0.308,0.382,0.722,0.4,1.0,1.5,0.5,0.4,0.4,0.2,3.2
Kira Lewis Jr.,"UTA, TOR, NOP, 3TM",PG,21.0,23.0,1.5,3.7,0.3,1.4,0.196,0.42,0.725,0.3,0.8,1.0,1.3,0.4,0.1,0.5,3.8
Klay Thompson,GSW,"SF, SG",32.0,59.0,7.3,16.9,3.8,9.6,0.395,0.483,0.903,0.5,3.3,3.8,2.5,0.6,0.5,1.5,20.1
Kobe Brown,LAC,PF,24.0,44.0,0.8,2.0,0.3,1.1,0.292,0.548,0.5,0.5,1.0,1.4,0.6,0.3,0.1,0.2,2.0
Kobe Bufkin,ATL,SG,20.0,17.0,2.0,5.4,0.5,2.4,0.225,0.481,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,4.8
Kobi Simmons,"TOR, CHO","SG, PG",26.0,4.0,1.2,3.2,0.4,1.5,0.225,0.269,0.5,0.2,1.0,1.3,2.0,0.8,0.4,0.2,3.0
Kostas Antetokounmpo,LAL,PF,23.0,15.0,0.2,0.7,0.0,0.0,0.0,0.3,0.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.8
Kris Dunn,"UTA, ATL, POR",PG,28.0,26.0,2.7,6.2,0.4,1.2,0.233,0.412,0.789,0.4,2.6,3.1,3.9,1.0,0.4,1.5,6.9
Kris Murray,POR,SF,23.0,62.0,2.3,5.9,0.8,3.0,0.268,0.525,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,6.1
Kristaps Porziņģis,"BOS, DAL, WAS, 2TM","PF, C",26.0,44.0,7.2,15.0,1.8,5.2,0.349,0.549,0.861,1.9,6.3,8.2,2.2,0.7,1.6,1.6,20.8
Kyle Anderson,"MEM, MIN",PF,28.0,72.0,3.4,7.2,0.6,1.9,0.332,0.511,0.716,0.9,4.1,5.0,3.9,1.1,0.8,1.2,9.0
Kyle Guy,"MIA, SAC","SG, PG",24.0,25.0,1.2,3.1,0.6,1.8,0.316,0.43,0.734,0.2,0.8,1.0,1.0,0.3,0.0,0.6,3.4
Kyle Kuzma,"LAL, WAS","SF, PF",26.0,67.0,7.0,15.5,2.2,6.3,0.343,0.528,0.727,1.1,6.0,7.1,3.3,0.6,0.7,2.5,18.4
Kyle Lowry,"MIA, TOR, PHI, 2TM",PG,36.0,47.0,3.6,8.4,2.0,5.2,0.383,0.513,0.851,0.6,3.3,3.9,5.4,1.0,0.4,1.9,11.0
Kyrie Irving,"DAL, BRK, 2TM","SG, PG",30.0,44.0,9.9,20.1,3.1,7.8,0.396,0.556,0.913,0.9,4.0,4.9,5.6,1.2,0.7,2.2,26.8
LaMarcus Aldridge,"SAS, BRK, 2TM",C,35.0,25.0,5.3,10.6,0.9,2.2,0.463,0.52,0.896,0.9,4.0,4.8,1.8,0.4,1.3,1.1,13.2
LaMelo Ball,CHO,PG,20.0,46.0,7.4,17.3,3.0,8.0,0.368,0.475,0.833,1.3,4.8,6.0,7.5,1.6,0.3,3.4,20.8
Lamar Stevens,"BOS, CLE, 2TM, MEM","SF, PF",25.0,40.0,2.4,5.4,0.4,1.1,0.287,0.506,0.738,0.8,2.2,3.0,0.7,0.5,0.4,0.6,6.2
Lance Stephenson,"IND, ATL, 2TM","SG, PG",31.0,31.0,2.5,5.7,0.4,1.6,0.203,0.51,0.694,0.3,2.4,2.7,3.1,0.4,0.1,1.3,6.5
Landry Shamet,"WAS, BRK, PHO",SG,24.0,54.0,2.8,7.0,1.8,4.7,0.368,0.461,0.848,0.2,1.4,1.6,1.7,0.5,0.2,0.8,8.4
Langston Galloway,"MIL, BRK, PHO, 2TM",SG,30.0,14.0,1.0,3.8,0.4,2.3,0.2,0.421,0.239,0.4,1.9,2.2,1.5,0.2,0.0,0.7,2.6
Larry Nance Jr.,"CLE, POR, 2TM, NOP","PF, C",29.0,42.0,2.9,5.4,0.5,1.5,0.374,0.601,0.739,1.6,3.9,5.4,1.9,1.0,0.5,0.9,7.2
Lauri Markkanen,"CHI, CLE, UTA","SF, PF",24.0,58.0,6.6,13.8,2.7,6.9,0.388,0.568,0.867,1.5,5.5,7.0,1.5,0.7,0.5,1.3,19.3
LeBron James,LAL,"C, PF, PG",38.0,57.0,10.4,20.0,2.4,6.6,0.364,0.596,0.743,1.0,6.9,7.9,7.3,1.2,0.7,3.5,27.5
League Average,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.539,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leaky Black,CHO,SF,24.0,26.0,1.0,2.0,0.3,0.8,0.45,0.5,0.667,0.3,1.5,1.8,0.9,0.3,0.4,0.2,2.7
Leandro Bolmaro,"UTA, MIN",SF,22.0,24.0,0.4,1.4,0.0,0.4,0.139,0.26,0.423,0.4,0.5,0.8,0.6,0.2,0.0,0.4,0.9
Leonard Miller,MIN,SF,20.0,17.0,0.8,1.2,0.1,0.3,0.4,0.733,0.5,0.3,0.9,1.2,0.5,0.1,0.1,0.1,1.7
Lester Quiñones,GSW,SG,22.0,20.0,1.0,2.6,0.7,1.7,0.432,0.226,0.678,0.4,1.0,1.4,0.8,0.2,0.0,0.9,3.4
Lindell Wigginton,MIL,PG,24.0,10.0,1.6,3.4,0.5,1.6,0.226,0.595,0.811,0.1,0.7,0.8,1.1,0.1,0.1,0.9,4.4
Lindy Waters III,OKC,SG,25.0,35.0,1.9,4.7,1.5,4.0,0.385,0.668,0.867,0.3,1.7,1.9,0.8,0.4,0.3,0.3,5.6
Lonnie Walker IV,"SAS, LAL, BRK",SG,24.0,61.0,4.1,9.8,1.7,4.7,0.354,0.489,0.805,0.2,2.1,2.3,1.6,0.6,0.3,1.0,11.2
Lonzo Ball,"CHI, NOP",PG,24.0,45.0,4.9,11.8,3.1,7.8,0.4,0.452,0.766,0.8,4.3,5.1,5.4,1.6,0.8,2.2,13.8
Lou Williams,"ATL, LAC, 2TM",PG,34.0,47.0,3.5,8.7,1.0,2.4,0.396,0.406,0.865,0.3,1.6,2.0,3.0,0.6,0.1,1.5,9.9
Louis King,"PHI, SAC","SF, PF",22.0,6.0,4.1,7.8,1.8,4.2,0.387,0.572,0.567,0.9,1.8,2.7,1.5,0.8,0.2,0.9,10.6
Luguentz Dort,OKC,"SF, SG",22.0,64.0,4.7,11.6,2.1,6.1,0.35,0.466,0.796,1.0,3.0,4.0,1.7,0.9,0.4,1.3,14.0
Luka Dončić,DAL,PG,22.0,67.0,10.5,21.9,3.2,9.0,0.357,0.564,0.75,0.8,7.9,8.7,8.8,1.2,0.5,4.1,30.6
Luka Garza,"DET, MIN",C,24.0,28.0,1.9,3.9,0.5,1.4,0.322,0.591,0.71,1.3,1.0,2.2,0.5,0.2,0.1,0.4,5.4
Luka Šamanić,"SAS, UTA",PF,23.0,28.0,2.2,5.0,0.6,2.4,0.247,0.586,0.677,0.3,2.6,2.9,1.0,0.4,0.2,0.9,5.9
Luke Kennard,"LAC, 2TM, MEM",SG,26.0,48.0,3.4,7.2,2.4,5.0,0.471,0.476,0.912,0.3,2.6,2.8,2.0,0.5,0.1,0.9,9.9
